Area_sqft,Bedrooms,Bathrooms,House_Age,Location_Score,Price
1938,4,3,8,9,6664605
3869,5,2,4,4,12211034
2134,2,3,14,4,6924240
762,3,1,17,9,3042085
2287,5,2,3,8,7571633
2691,4,4,18,2,8384607
2893,3,4,19,8,9465140
1123,3,1,25,1,3315086
1516,4,2,6,9,5506818
1380,5,4,25,9,4832251
2549,1,3,7,8,8333781
3444,4,2,16,5,11009306
1827,4,2,12,5,5964936
2801,4,4,23,3,8846465
952,3,3,20,5,3256154
3608,2,3,27,4,10914131
1683,1,3,22,1,5076565
3562,5,2,10,9,11526282
2556,5,1,26,4,8043152
3804,2,2,0,3,11868231
3670,4,2,1,6,11645663
2182,1,4,16,1,6816749
3363,5,1,4,5,10548851
2755,5,3,29,7,8959009
1654,4,4,29,2,5327750
903,2,2,5,9,3449230
2699,1,1,25,6,8308497
2601,2,3,24,2,8052996
3691,2,3,23,8,11774483
2196,1,2,6,8,7421230
1127,1,3,27,1,3438716
1086,5,3,20,1,3700316
2148,5,1,29,1,6494541
1943,1,4,14,4,6342205
1945,3,1,18,4,6136933
603,5,4,15,8,2487456
753,3,4,24,1,2521947
3798,1,4,12,3,11836777
3683,5,3,4,1,11460091
3057,2,1,2,9,9802232
1996,1,3,2,9,6680323
598,4,2,18,7,2587211
2700,3,1,13,8,8838236
2384,1,4,15,1,7350276
3461,1,3,21,5,10726922
2419,5,3,16,2,7652253
1377,5,1,26,1,4255190
837,5,1,3,3,2927024
3369,4,4,12,7,10929075
3734,5,4,7,1,11645844
1456,1,2,18,2,4517596
2204,5,4,4,2,7207212
660,2,3,1,4,2469598
2103,5,2,14,3,6639729
3348,4,2,1,3,10415593
897,2,2,10,5,3001041
1800,1,1,12,3,5625230
1315,1,4,22,7,4495114
2027,3,2,9,5,6721516
2419,2,1,2,4,7544562
1915,3,1,4,3,6274243
1658,2,2,2,4,5298046
1718,2,2,5,2,5624232
900,4,3,12,1,3133602
1139,3,2,9,3,3720161
3604,4,3,18,2,11180767
3235,2,2,7,1,10001785
959,1,2,17,1,2986187
1454,2,4,2,2,4618572
969,4,2,23,9,3818362
3946,3,2,23,5,12099700
1545,3,3,16,9,5277061
3297,4,3,7,8,10658957
2193,3,4,9,6,7317266
2585,5,2,1,1,8259490
2777,1,2,11,5,8754394
3936,1,3,22,1,12009137
1062,1,1,5,7,3638630
2985,3,1,1,8,9612228
2299,3,1,20,8,7561198
3854,2,3,22,7,11888767
2574,2,3,23,2,7666708
725,1,1,2,5,2657729
3848,5,1,16,4,12094143
1297,2,2,28,5,4018158
2831,2,3,6,9,9156082
3426,3,3,28,4,10402024
1459,5,1,20,8,5152605
2004,1,1,4,8,6467351
952,2,4,22,2,3190772
3567,5,3,0,6,11425720
1315,5,4,7,5,4584501
1158,1,2,11,2,3816776
1046,5,4,13,4,3608577
1715,5,1,15,7,5736875
3620,5,3,9,1,11237284
516,2,3,14,9,2465161
3743,1,4,20,1,11257849
1743,5,4,23,5,5804928
2705,5,2,25,7,8659380
3024,2,2,14,8,9555441
1569,1,1,9,2,4770682
3944,3,1,20,4,12002865
3065,2,1,27,2,9028882
2646,1,4,6,4,8302883
2268,5,4,25,6,7611930
1560,1,3,2,6,5302658
2827,1,1,1,2,8685504
3920,1,4,5,4,12232361
3044,3,3,20,4,9659659
801,1,1,8,1,2398625
680,3,2,9,2,2255934
1106,5,2,3,3,3843317
3670,3,4,26,5,11464714
1199,5,3,2,8,4714209
1492,5,2,8,6,5209651
1639,3,3,23,3,5240669
690,2,3,21,6,2669171
2800,4,2,16,7,9026880
1480,1,3,13,6,4769530
3475,4,2,9,6,11004906
2506,1,4,12,1,7803838
1684,1,1,11,3,5144193
3827,5,1,26,7,11959498
3894,1,4,0,4,12173393
627,1,2,27,4,2062435
2565,3,2,21,7,8244781
2316,4,2,28,9,7701829
2258,3,2,18,2,6890254
3113,1,4,18,9,9986428
1069,5,1,5,3,3774728
1846,3,3,12,6,6120434
2395,3,3,18,4,7386344
3233,2,1,12,1,9708491
1125,1,4,26,9,3844619
3859,5,3,25,6,12054107
3401,3,1,21,8,10809351
2186,3,4,20,2,6751015
3509,5,3,3,7,11413257
654,1,2,23,6,2303289
3037,2,2,1,2,9343319
1909,3,4,14,2,6117492
1284,2,2,11,4,4230358
3675,4,4,29,4,11342711
3964,1,1,26,3,11832030
745,4,1,6,8,2988083
3747,4,3,19,7,11941649
3610,4,4,17,2,11204408
2000,1,3,22,3,6341709
2205,1,3,12,9,7420784
3306,5,1,16,5,10258402
1037,2,3,3,2,3316088
2390,2,2,24,3,7530107
2341,5,3,13,8,7822331
1420,5,4,19,4,4740059
2955,4,2,27,2,9008688
1024,5,1,12,2,3585132
3375,3,4,2,6,10806755
2029,2,2,25,8,6689111
3450,5,4,25,7,10912664
535,3,2,17,4,1865274
1184,3,4,13,2,3906903
519,3,4,14,9,2526805
2868,3,2,2,4,9001738
3059,4,1,0,9,10095379
899,3,1,25,5,3117596
3201,4,4,23,7,10070857
1471,4,4,16,5,5106044
2406,3,1,2,2,7369460
3018,2,1,13,6,9400923
1666,3,3,2,7,5884944
1615,3,1,12,6,5439770
3925,3,4,14,3,12158944
1333,2,2,17,8,4768083
2323,1,1,13,3,7050159
3274,1,3,20,5,9983802
2482,4,3,25,9,8269477
1353,4,3,2,5,4831264
550,2,2,18,7,2068621
1074,5,1,7,7,3920231
3761,1,1,3,5,11574843
1648,4,1,3,2,5229179
2697,1,2,18,5,8381591
2861,2,2,10,7,9344477
3117,2,4,0,7,10151649
3913,5,3,7,4,12183935
2852,5,3,14,1,8683507
2215,2,1,0,6,7237132
1181,4,2,6,3,4134415
1337,1,2,20,5,4435367
1577,3,1,19,4,4989747
3550,5,1,19,2,11075631
2991,3,4,23,7,9395673
3160,4,3,10,5,9984619
3540,5,3,26,7,11090470
2811,3,3,28,9,9201747
3624,4,4,13,4,11347614
2095,1,1,21,5,6581635
3551,4,1,15,9,11541551
504,5,3,13,4,1905821
1626,2,3,11,5,5460834
1719,1,4,16,5,5388654
1273,3,2,13,8,4431259
1376,5,2,9,4,4684616
1491,2,3,23,4,4913408
3431,4,4,28,7,10987590
3921,2,3,13,5,12385659
546,5,2,17,6,2096484
3414,5,3,21,6,10696078
3370,2,2,8,6,10836968
3483,4,2,16,5,10748225
3203,2,2,5,5,10300242
768,5,1,7,9,3073745
869,5,1,25,8,3288268
1135,3,3,12,4,3831559
1629,3,2,17,7,5471748
2193,1,1,4,8,7040721
2182,5,3,5,9,7736803
1156,3,3,20,5,3821878
619,2,3,18,3,1961437
1330,4,3,3,4,4530061
2310,2,3,6,6,7503798
1581,4,4,3,5,5449612
2474,3,2,24,9,8228981
1869,1,3,10,3,5800215
1240,2,4,11,2,4207581
616,2,2,13,6,2451312
2353,2,1,12,7,7768258
3338,4,3,28,5,10562760
1650,3,4,9,1,5183480
3964,2,1,17,3,12284369
2431,2,4,15,3,7815031
1512,1,2,4,4,4868127
2164,1,2,7,6,7083904
1581,3,1,13,5,4995752
1133,3,4,4,1,3764801
1012,5,3,25,6,3803016
3349,1,3,27,9,10488573
1619,5,1,23,1,4984888
1641,4,1,7,8,5782010
1059,5,1,24,8,3890136
987,2,4,25,3,3281840
3808,5,3,5,9,12452886
1396,3,3,15,8,5068841
3843,4,3,27,3,11677541
1712,2,1,3,5,5473838
1203,5,3,11,3,4185544
1970,4,2,10,5,6609421
1080,4,1,2,9,4315836
3337,2,3,11,4,10500709
3408,5,4,29,6,10633585
2794,4,1,4,3,8990703
3647,4,2,5,3,11470238
653,1,2,18,5,2246352
2179,4,4,17,8,7173647
1496,1,4,15,8,5123450
3657,5,1,22,3,11459370
3244,5,1,10,8,10679942
3856,5,2,4,8,12519972
1743,3,4,8,3,5592050
1592,5,1,2,2,5133366
3618,4,2,29,2,11065718
1508,2,4,7,9,5224183
2641,1,2,5,7,8507819
2273,3,3,3,6,7637750
1457,5,4,11,7,5145710
3559,5,1,11,8,11314194
952,2,1,24,1,2657082
1727,2,3,20,8,5748378
3459,3,4,15,3,10932515
2765,1,2,9,3,8487899
3021,5,1,21,6,9662951
2979,3,3,13,4,9359414
2888,4,3,12,4,8996143
1050,4,4,8,4,3651952
2135,3,4,6,9,7450558
1812,5,1,11,8,6237374
3825,3,3,4,3,12016859
2257,5,2,17,1,6999126
856,2,3,3,1,2968078
2570,3,2,1,1,7817202
2285,5,2,2,4,7292987
3069,3,1,25,6,9563812
2281,3,3,11,4,7350274
3671,5,2,2,3,11424848
3349,5,4,3,8,11011943
3751,1,2,5,8,11990476
3794,3,4,11,6,11976699
3309,4,4,18,9,10812721
2989,3,3,9,1,9247366
2131,3,4,29,8,6864069
3316,5,2,0,6,10568409
1515,3,4,16,1,4828329
1848,3,3,15,4,6120166
1015,4,1,8,5,3491689
3587,5,2,24,7,11282948
3339,3,2,20,8,10639558
835,2,3,8,9,3121611
2282,1,3,26,6,7394191
2805,4,3,22,9,9021657
996,3,3,8,4,3296462
1395,2,2,11,8,4902824
2707,3,1,22,3,8205299
1351,3,4,8,4,4683691
2187,5,4,14,4,7300898
2431,5,1,1,6,8059526
3237,5,1,10,9,10720417
2927,2,1,10,6,9412541
2068,3,3,7,1,6331788
1456,1,2,22,5,4626595
3238,4,2,5,9,10580356
3998,5,2,20,5,12386964
2136,5,3,19,6,7166391
1791,3,2,6,3,5843850
1940,3,3,2,8,6480924
1691,2,2,7,4,5298921
1566,2,1,17,4,5149104
784,5,4,16,5,2794813
2944,3,4,10,9,9621748
511,1,3,1,8,2464132
2130,4,2,24,7,6951322
3873,3,4,20,5,12292222
3824,3,1,26,9,12010140
3046,2,1,23,9,9562927
1253,4,1,18,2,4136292
2582,5,3,6,4,8186539
3274,3,3,17,8,10595827
3396,5,2,7,1,10446031
589,3,1,13,5,2349295
1275,5,2,6,8,4661746
3152,4,2,27,2,9468703
3517,2,1,20,2,10761954
2125,4,2,27,8,7133255
3569,1,4,26,9,11348415
917,2,3,3,7,3614121
614,4,2,16,8,2580186
1116,1,1,4,5,3715189
3767,3,3,11,1,11601809
1325,3,3,8,4,4571534
2149,5,2,25,2,6814028
2016,2,4,19,3,6206887
3646,3,2,12,3,11252338
912,2,4,24,9,3548685
3947,3,3,27,4,12297463
3991,5,2,17,2,12090882
1228,4,1,19,3,3829825
3848,5,2,8,3,12095054
3568,1,4,3,7,11511710
3308,3,4,20,8,10628145
1175,1,2,26,6,4004663
3965,1,4,7,4,12302248
2392,2,3,0,6,7729081
3004,3,2,16,1,9118361
3467,1,4,24,8,10880337
2739,4,2,8,1,8307362
3286,1,2,19,5,10248927
1622,4,1,12,2,5111234
2071,2,2,1,6,6870441
1477,1,1,12,9,5272770
1508,5,4,8,5,5309917
2643,2,1,29,4,8056367
2187,4,1,19,2,6722403
3210,2,1,5,3,10052784
3761,1,3,27,6,11742113
536,3,1,0,8,2503130
3940,3,2,27,8,12282017
2048,4,1,24,5,6697324
2826,4,2,4,5,8900585
2764,3,1,2,3,8491122
3414,4,3,3,7,10873838
1372,2,4,0,6,4774373
2321,5,1,13,1,7283251
1796,5,1,8,4,5886429
2609,2,3,29,6,8226233
1095,5,1,23,6,3959822
2403,1,2,3,3,7520283
1228,2,1,17,6,3970025
1865,4,1,13,6,6021520
896,2,4,24,9,3200344
1198,3,4,3,9,4668346
3590,4,1,24,2,11082230
2724,3,3,9,4,8729103
2135,4,4,2,9,7615085
895,5,1,22,4,3161408
2992,2,4,6,8,9868412
3804,1,1,9,3,11521564
575,4,4,12,3,2134622
764,4,4,3,9,3347105
3002,3,2,17,8,9602774
2319,5,1,10,1,7100563
1217,3,1,24,2,3923308
3282,3,1,3,3,10260351
3955,5,1,23,2,12161603
1350,1,4,13,3,4473926
1890,3,2,17,8,6267104
643,3,2,7,6,2340825
1384,4,3,26,7,4663187
3640,5,1,9,6,11618870
3670,2,3,4,1,11387253
895,1,4,22,3,2712470
3596,1,3,6,1,11038914
3495,5,1,11,9,11298340
3438,4,2,24,9,11222245
1992,4,2,2,5,6572155
3722,5,1,25,4,11577102
1667,4,4,3,9,6181950
3116,1,1,9,9,10093950
1562,1,4,3,3,5185306
2656,2,2,14,5,8519876
1565,5,4,28,3,5015961
1709,3,1,9,2,5204702
3482,3,1,20,1,10580883
2945,2,1,29,2,8921743
3794,2,4,21,8,12130971
1133,4,4,15,8,4085821
1656,2,4,14,3,5209683
3734,2,2,18,7,11595446
1738,3,3,28,7,5740282
1232,4,3,19,2,4122034
734,2,1,18,9,2922183
3205,2,2,17,3,10038165
1250,4,4,25,2,4060527
3135,5,1,11,3,9969511
3580,4,2,24,2,10773884
3645,3,1,15,8,11531218
1453,5,2,0,5,4909819
3039,1,2,15,3,9205162
3460,4,3,1,5,11078704
3824,3,1,23,8,11911606
3801,5,4,14,7,12367933
2042,4,3,6,6,6688018
1697,2,3,27,1,4942250
2176,4,4,0,1,6908485
1691,1,2,4,1,5377535
2717,4,4,9,8,9122065
1916,5,1,21,8,6561267
3493,5,4,20,7,11269311
3342,4,2,3,6,10600363
3181,5,4,13,4,10079857
1717,2,2,12,1,5273937
2040,4,2,0,9,6972400
2576,2,1,15,1,7689847
3736,2,4,22,4,11617005
1945,3,4,8,3,6166340
2886,4,1,21,7,9210905
2019,5,2,15,5,6525049
1888,2,4,18,5,5919357
2356,3,1,14,4,7477718
1865,4,2,25,1,5876748
999,4,1,13,5,3591345
2180,1,4,19,4,6845326
1010,1,1,9,8,3774304
3898,2,3,20,2,11936940
716,1,2,11,8,2591238
1824,2,3,27,1,5653320
1655,5,3,0,4,5475883
2327,2,2,20,3,7071478
3641,1,2,16,5,11137396
3823,5,1,8,5,12095819
3986,1,2,22,5,12309591
2310,2,3,18,4,7352667
2992,3,3,24,8,9601895
3423,4,4,17,3,10733494
1705,1,2,27,4,5210921
2714,2,3,6,1,8332790
590,5,4,8,7,2792615
1213,1,4,21,1,3864006
2381,1,1,25,2,7256121
538,4,3,20,7,2409469
3697,2,1,11,1,11154207
672,3,3,6,3,2412334
1152,5,1,13,6,4256566
1253,2,1,14,6,4230043
1743,5,2,14,6,5703787
1581,1,1,5,2,4968550
2183,4,2,20,2,6856833
3023,4,4,13,6,9719932
955,3,3,1,5,3679681
1328,4,4,7,7,4911488
1394,1,3,12,7,4887035
1884,3,4,22,5,6099730
2458,2,3,5,8,8041464
3572,4,1,4,6,11494013
2934,3,3,4,5,9287312
2496,1,3,24,4,7709136
2895,5,4,0,7,9447014
689,5,4,8,4,2531563
1004,1,4,5,5,3707701
1714,1,2,19,5,5653873
2031,5,2,25,1,6137422
3940,3,3,29,1,12045063
3980,5,3,6,3,12669243
1323,1,1,8,3,4149271
1428,4,1,4,2,4550854
1433,2,3,13,2,4585229
1640,4,2,4,6,5489317
633,4,3,7,1,2301264
2605,1,1,6,6,8282884
1184,5,2,12,5,4026825
3219,3,2,12,6,10285127
2720,4,1,7,5,8764571
2352,5,3,10,7,7979773
1314,3,4,27,1,3927325
1672,4,3,25,3,5244984
579,3,3,17,6,2397023
3433,5,1,24,1,10376945
3784,2,2,18,7,11691332
702,5,1,5,4,2593636
3311,1,3,21,3,9995795
1752,3,4,1,9,6138716
2199,2,4,27,1,6658553
1750,3,4,12,8,6188793
2182,3,1,22,1,6412643
2055,4,2,24,5,6443128
3973,1,1,27,8,12181523
2594,3,4,25,6,8424364
1756,5,3,10,7,5915784
3876,5,2,0,8,12708037
2049,4,1,23,6,6728845
1666,1,1,1,6,5472199
3986,1,2,29,6,12426245
1896,5,2,16,5,6142002
3830,2,3,7,8,12200476
3203,4,2,1,2,10048496
970,4,3,5,7,3522401
3518,5,4,21,4,11218102
1535,5,4,4,1,5094373
1853,2,1,15,5,5976602
3283,2,4,7,3,10176046
3331,1,4,18,4,10449516
1467,4,3,15,7,5170115
857,4,1,12,5,3216162
3519,5,2,25,4,10991572
3979,1,1,19,1,12098912
1167,4,4,6,6,4067565
872,1,2,15,6,2852829
1531,1,1,22,7,5044680
1645,5,1,15,1,5026023
1871,1,1,28,4,5604823
3223,2,1,11,9,10212941
589,2,3,13,6,2358181
3245,3,1,23,2,9818531
3887,5,4,17,4,12374683
3749,3,4,26,6,11556176
1039,2,3,27,4,3424505
3279,3,2,17,7,10535660
1368,5,2,15,3,4455144
540,5,4,19,6,2449512
1239,1,4,15,4,4026671
2446,4,3,12,3,7688670
3049,1,2,25,3,9134045
3506,5,2,28,2,10684460
3716,2,1,8,3,11614047
1724,2,1,25,1,4987603
1428,1,1,27,3,4465880
2536,5,3,8,9,8660933
3008,2,4,12,4,9472504
3279,5,3,28,3,10302767
3299,2,2,3,8,10761426
1424,5,4,8,1,4772608
3456,3,1,14,5,10791878
2081,5,3,13,1,6662138
3824,5,3,18,7,12199668
889,1,1,11,5,3061103
2117,3,3,20,2,6740453
3430,4,1,25,1,10278189
755,1,2,24,7,2571123
1208,4,4,5,1,4053460
2338,2,2,2,3,7486738
2444,4,2,25,6,7795635
2997,5,1,24,6,9671550
509,4,3,21,7,2173424
3371,1,2,19,1,10033021
1297,1,2,15,7,4413912
3813,4,2,29,2,11669530
3822,1,3,19,6,11943804
1376,1,3,23,8,4534652
1528,4,1,22,5,5135979
3690,3,2,16,3,11525267
1515,3,4,15,8,5384684
2324,2,3,5,8,7917627
873,1,1,7,4,3034900
3636,4,2,18,8,11544659
2693,1,4,29,5,8386411
723,5,3,24,5,2563792
1762,1,4,25,3,5582183
2724,1,3,1,7,8663088
2302,3,1,13,9,7803793
1352,4,4,21,9,4723044
3853,1,2,11,1,11646460
562,3,2,16,1,1772615
1740,2,3,27,5,5348005
3374,3,2,26,1,10266347
3342,3,4,14,4,10574364
1188,3,1,17,1,3567991
1984,1,3,15,2,5954696
2133,1,4,12,2,6649755
2652,2,3,20,4,8122381
3670,5,1,16,8,11776004
1010,5,3,7,2,3411148
884,5,2,0,9,3823200
904,2,2,28,9,3237018
3370,5,3,24,2,10475615
1017,5,1,25,1,3341442
975,3,1,26,9,3501792
2500,1,2,2,2,7916817
3256,1,1,15,8,10394584
2168,3,3,27,3,6803006
2393,3,4,1,1,7455415
3318,3,3,14,1,10027273
1960,1,2,0,2,6329992
3594,5,2,8,7,11378788
3544,3,2,15,6,11118594
3224,2,1,3,2,9802185
1213,3,3,11,4,4099476
582,4,4,0,2,2239361
1668,3,3,0,1,5541827
3656,1,4,6,3,11281896
3649,3,3,17,4,11529968
3004,4,2,22,5,9254799
2401,2,4,27,5,7628204
2548,5,3,22,7,8204406
550,3,1,14,8,2407291
